tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Reno Reno,6mb,1.7656736,0.00454971857411,0.0771878017717,2.0265888,0.00351810186132,0.0781624506753
Reno Reno,6mb,1.8474592,0.00484001075558,0.0761071385211,2.0059552,0.00400693985459,0.077158352868
Reno Reno,6mb,1.9448864,0.00383517279584,0.0783201113488,1.8716704,0.00416094905051,0.0776439472374
Reno Reno,6mb,1.9757536,0.00373369132022,0.0766216289793,1.800784,0.00400331308669,0.0762104502194
Reno Reno,6mb,1.822,0.00472641337939,0.077747996621,1.9670176,0.00425370619946,0.0769458992091
Reno Reno,6mb,1.9190944,0.00448836908204,0.0773219114753,1.9789984,0.0039361835769,0.0760656204229
Reno Reno,6mb,1.8025312,0.00399944835195,0.0802415129696,2.042064,0.00373422088728,0.0776166338562
Reno Reno,6mb,2.1262624,0.00304271503803,0.075957290801,1.6846368,0.00554955308909,0.0763463340412
Reno Reno,6mb,2.0512992,0.00303263111075,0.0814935331765,1.8508704,0.00394000447728,0.080315362341
Reno Reno,6mb,2.075344,0.0040325800527,0.0779032101824,1.7524448,0.00481904941888,0.0774670649449
Reno Reno,7mb,1.4816288,0.00458331004416,0.089983477006,1.57448,0.00509935863737,0.0896237175165
Reno Reno,7mb,1.6066784,0.00402269210933,0.0884116835128,1.4040864,0.00489386792453,0.0868025533566
Reno Reno,7mb,1.6403744,0.00298341423948,0.085599600497,1.4868704,0.00456722735881,0.0872213813227
Reno Reno,7mb,1.6353824,0.00339687690124,0.0881395026708,1.4322912,0.00531546105847,0.088720175302
Reno Reno,7mb,1.512912,0.00514251326659,0.0857508293649,1.49128,0.00516150516151,0.0868663597211
Reno Reno,7mb,1.4329568,0.00485324705339,0.0891006237808,1.6115872,0.00442000308372,0.0910075893346
Reno Reno,7mb,1.5648288,0.00407709414381,0.0874777418257,1.4931104,0.00526549163064,0.0867322724132
Reno Reno,7mb,1.3160608,0.00578216328326,0.0857922933182,1.8096864,0.00233912764298,0.0885763161089
Reno Reno,7mb,1.39768,0.00562296537437,0.0865109723214,1.6222368,0.00459441523304,0.0883277486025
Reno Reno,7mb,1.5204,0.00414146368045,0.0915519589056,1.5834656,0.00481045751634,0.0910453931592
Reno Reno,8mb,1.0951648,0.00866029068454,0.0822512234883,0.9275168,0.00994583074327,0.0811518437528
Reno Reno,8mb,1.04824,0.00732687307965,0.0817679930952,0.99208,0.0107839070925,0.08269777174
Reno Reno,8mb,1.0510688,0.0100297758972,0.078856878265,0.9776032,0.0131015369111,0.0782528824781
Reno Reno,8mb,1.0696224,0.0079475308642,0.0816295420394,0.9760224,0.00987425099164,0.0809740601773
Reno Reno,8mb,0.9597152,0.0116518163125,0.0825960949202,1.058224,0.0102707749767,0.0828854499214
Reno Reno,8mb,0.9796832,0.0108357832843,0.0808258128397,1.0396704,0.00746565006751,0.0823085122029
Reno Reno,8mb,1.0524832,0.00908592464949,0.0808052212473,0.9956576,0.0098452883263,0.0795554986631
